date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:23	30790/30790	---M--	200	added ('OK')	image/png	etag:%22a300146-7846-59dae107c3880%22	http://www.benchmarkexim.com/img/it/Cardamom.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/Cardamom.png	(from http://www.benchmarkexim.com/international-trade.html)
11:38:25	22819/22819	---M--	200	added ('OK')	image/png	etag:%22a300154-5923-59dae107c3880%22	http://www.benchmarkexim.com/img/it/Ginger.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/Ginger.png	(from http://www.benchmarkexim.com/international-trade.html)
11:38:26	24143/24143	---M--	200	added ('OK')	image/png	etag:%22a300164-5e4f-59dae107c3880%22	http://www.benchmarkexim.com/img/it/Turmeric.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/Turmeric.png	(from http://www.benchmarkexim.com/international-trade.html)
11:38:29	32167/32167	---M--	200	added ('OK')	image/png	etag:%22a30014c-7da7-59dae107c3880%22	http://www.benchmarkexim.com/img/it/Cumin.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/Cumin.png	(from http://www.benchmarkexim.com/international-trade.html)
11:38:29	28730/28730	---M--	200	added ('OK')	image/png	etag:%22a300150-703a-59dae107c3880%22	http://www.benchmarkexim.com/img/it/Fennel.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/Fennel.png	(from http://www.benchmarkexim.com/international-trade.html)
11:38:31	28450/28450	---M--	200	added ('OK')	image/png	etag:%22a300151-6f22-59dae107c3880%22	http://www.benchmarkexim.com/img/it/Fenugreek.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/Fenugreek.png	(from http://www.benchmarkexim.com/international-trade.html)
11:38:35	31294/31294	---M--	200	added ('OK')	image/png	etag:%22a300163-7a3e-59dae107c3880%22	http://www.benchmarkexim.com/img/it/Tamarind.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/Tamarind.png	(from http://www.benchmarkexim.com/international-trade.html)
11:38:36	41583/41583	---M--	200	added ('OK')	image/png	etag:%22a30014e-a26f-59dae107c3880%22	http://www.benchmarkexim.com/img/it/DillSeed.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/DillSeed.png	(from http://www.benchmarkexim.com/international-trade.html)
11:38:36	31815/31815	---M--	200	added ('OK')	image/png	etag:%22a300149-7c47-59dae107c3880%22	http://www.benchmarkexim.com/img/it/Clove.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/Clove.png	(from http://www.benchmarkexim.com/international-trade.html)
11:38:42	36893/36893	---M--	200	added ('OK')	image/png	etag:%22a30015e-901d-59dae107c3880%22	http://www.benchmarkexim.com/img/it/Nutmeg.png	C:/Users/vighnesh-pt3651/Documents/My%20Kindle%20Content/xprt/www.benchmarkexim.com/img/it/Nutmeg.png	(from http://www.benchmarkexim.com/international-trade.html)
